2019-09-23 09:52:44,577: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Cousine for Powerline' (Cousine Italic for Powerline.ttf) italic normal 400 normal>) = 11.05
2019-09-23 09:52:44,577: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Meslo LG L for Powerline' (Meslo LG L Italic for Powerline.ttf) italic normal 400 normal>) = 11.05
2019-09-23 09:52:44,577: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Symbol Neu for Powerline' (Symbol Neu for Powerline.ttf) normal normal 400 normal>) = 10.05
2019-09-23 09:52:44,577: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Source Code Pro for Powerline' (Source Code Pro Black for Powerline.otf) normal normal black normal>) = 10.525
2019-09-23 09:52:44,577: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Tinos for Powerline' (Tinos Bold Italic for Powerline.ttf) italic normal bold normal>) = 11.335
2019-09-23 09:52:44,577: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Liberation Mono for Powerline' (Literation Mono Powerline Bold.ttf) normal normal bold normal>) = 10.335
2019-09-23 09:52:44,577: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Meslo LG L DZ for Powerline' (Meslo LG L DZ Bold Italic for Powerline.ttf) italic normal bold normal>) = 11.335
2019-09-23 09:52:44,577: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Anonymous Pro for Powerline' (Anonymice Powerline Bold.ttf) normal normal bold normal>) = 10.335
2019-09-23 09:52:44,577: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Cousine for Powerline' (Cousine for Powerline.ttf) normal normal 400 normal>) = 10.05
2019-09-23 09:52:44,577: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Fira Mono for Powerline' (FuraMono-Regular Powerline.otf) normal normal 400 normal>) = 10.05
2019-09-23 09:52:44,577: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Cousine for Powerline' (Cousine Bold Italic for Powerline.ttf) italic normal bold normal>) = 11.335
2019-09-23 09:52:44,578: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Space Mono' (SpaceMono-Regular.ttf) normal normal 400 normal>) = 10.05
2019-09-23 09:52:44,578: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Source Code Pro for Powerline' (Source Code Pro for Powerline.otf) normal normal 400 normal>) = 10.05
2019-09-23 09:52:44,578: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Roboto Mono for Powerline' (Roboto Mono Bold Italic for Powerline.ttf) italic normal bold normal>) = 11.335
2019-09-23 09:52:44,578: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Tinos for Powerline' (Tinos Italic for Powerline.ttf) italic normal 400 normal>) = 11.05
2019-09-23 09:52:44,578: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Roboto Mono for Powerline' (Roboto Mono for Powerline.ttf) normal normal 400 normal>) = 10.05
2019-09-23 09:52:44,578: matplotlib.font_manager DEBUG   : findfont: score(<Font 'IBM 3270' (3270Medium.ttf) normal normal medium normal>) = 10.145
2019-09-23 09:52:44,578: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Inconsolata-dz for Powerline' (Inconsolata-dz for Powerline.otf) normal normal 400 normal>) = 10.05
2019-09-23 09:52:44,578: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Droid Sans Mono Slashed for Powerline' (Droid Sans Mono Slashed for Powerline.ttf) normal normal 400 normal>) = 10.05
2019-09-23 09:52:44,578: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Roboto Mono Light for Powerline' (Roboto Mono Light Italic for Powerline.ttf) italic normal light normal>) = 11.24
2019-09-23 09:52:44,578: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Source Code Pro for Powerline' (Source Code Pro Bold for Powerline.otf) normal normal bold normal>) = 10.335
2019-09-23 09:52:44,578: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Roboto Mono for Powerline' (Roboto Mono Bold for Powerline.ttf) normal normal bold normal>) = 10.335
2019-09-23 09:52:44,578: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Droid Sans Mono for Powerline' (Droid Sans Mono for Powerline.otf) normal normal 400 normal>) = 10.05
2019-09-23 09:52:44,579: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Tinos for Powerline' (Tinos Bold for Powerline.ttf) normal normal bold normal>) = 10.335
2019-09-23 09:52:44,579: matplotlib.font_manager DEBUG   : findfont: score(<Font 'IBM 3270 Semi-Narrow' (3270SemiNarrow.ttf) normal normal 400 condensed>) = 10.25
2019-09-23 09:52:44,579: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Source Code Pro for Powerline' (Source Code Pro Powerline MediumItalic.otf) italic normal medium normal>) = 11.145
2019-09-23 09:52:44,579: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Meslo LG L DZ for Powerline' (Meslo LG L DZ Bold for Powerline.ttf) normal normal bold normal>) = 10.335
2019-09-23 09:52:44,579: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Space Mono for Powerline' (Space Mono Bold Italic for Powerline.ttf) italic normal bold normal>) = 11.335
2019-09-23 09:52:44,579: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Arimo for Powerline' (Arimo Bold Italic for Powerline.ttf) italic normal bold normal>) = 11.335
2019-09-23 09:52:44,579: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Meslo LG M for Powerline' (Meslo LG M Italic for Powerline.ttf) italic normal 400 normal>) = 11.05
2019-09-23 09:52:44,579: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Source Code Pro for Powerline' (Source Code Pro Powerline BlackItalic.otf) italic normal black normal>) = 11.525
2019-09-23 09:52:44,579: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Meslo LG S DZ for Powerline' (Meslo LG S DZ Bold Italic for Powerline.ttf) italic normal bold normal>) = 11.335
2019-09-23 09:52:44,579: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Meslo LG S for Powerline' (Meslo LG S Bold Italic for Powerline.ttf) italic normal bold normal>) = 11.335
2019-09-23 09:52:44,579: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Hack' (Hack-Bold.ttf) normal normal bold normal>) = 10.335
2019-09-23 09:52:44,580: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Tinos for Powerline' (Tinos for Powerline.ttf) normal normal 400 normal>) = 10.05
2019-09-23 09:52:44,580: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Go Mono for Powerline' (Go Mono Bold for Powerline.ttf) normal normal bold normal>) = 10.335
2019-09-23 09:52:44,580: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Fira Mono for Powerline' (FuraMono-Medium Powerline.otf) normal normal medium normal>) = 10.145
2019-09-23 09:52:44,580: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Liberation Mono for Powerline' (Literation Mono Powerline Italic.ttf) italic normal 400 normal>) = 11.05
2019-09-23 09:52:44,580: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Meslo LG S for Powerline' (Meslo LG S Regular for Powerline.ttf) normal normal regular normal>) = 10.05
2019-09-23 09:52:44,580: matplotlib.font_manager DEBUG   : findfont: score(<Font 'DejaVu Sans Mono for Powerline' (DejaVu Sans Mono Bold for Powerline.ttf) normal normal bold normal>) = 10.335
2019-09-23 09:52:44,580: matplotlib.font_manager DEBUG   : findfont: score(<Font 'NovaMono for Powerline' (NovaMono for Powerline.ttf) normal normal 400 normal>) = 10.05
2019-09-23 09:52:44,580: matplotlib.font_manager DEBUG   : findfont: score(<Font 'ProFont for Powerline' (ProFont For Powerline.ttf) normal normal 400 normal>) = 10.05
2019-09-23 09:52:44,580: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Meslo LG S for Powerline' (Meslo LG S Italic for Powerline.ttf) italic normal 400 normal>) = 11.05
2019-09-23 09:52:44,580: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Space Mono' (SpaceMono-Italic.ttf) italic normal 400 normal>) = 11.05
2019-09-23 09:52:44,580: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Source Code Pro for Powerline' (Source Code Pro Powerline BoldItalic.otf) italic normal bold normal>) = 11.335
2019-09-23 09:52:44,580: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Meslo LG M for Powerline' (Meslo LG M Regular for Powerline.ttf) normal normal regular normal>) = 10.05
2019-09-23 09:52:44,581: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Meslo LG S DZ for Powerline' (Meslo LG S DZ Regular for Powerline.ttf) normal normal regular normal>) = 10.05
2019-09-23 09:52:44,581: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Space Mono for Powerline' (Space Mono Bold for Powerline.ttf) normal normal bold normal>) = 10.335
2019-09-23 09:52:44,581: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Hack' (Hack-Italic.ttf) italic normal 400 normal>) = 11.05
2019-09-23 09:52:44,581: matplotlib.font_manager DEBUG   : findfont: score(<Font 'DejaVu Sans Mono for Powerline' (DejaVu Sans Mono for Powerline.ttf) normal normal 400 normal>) = 10.05
2019-09-23 09:52:44,581: matplotlib.font_manager DEBUG   : findfont: score(<Font 'DejaVu Sans' (DejaVuSans-ExtraLight.ttf) normal normal light normal>) = 0.24
2019-09-23 09:52:44,581: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Source Code Pro for Powerline' (Source Code Pro ExtraLight for Powerline.otf) normal normal light normal>) = 10.24
2019-09-23 09:52:44,581: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Liberation Mono' (LiberationMono-BoldItalic.ttf) italic normal bold normal>) = 11.335
2019-09-23 09:52:44,581: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Space Mono for Powerline' (Space Mono Italic for Powerline.ttf) italic normal 400 normal>) = 11.05
2019-09-23 09:52:44,581: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Source Code Pro for Powerline' (Source Code Pro Light for Powerline.otf) normal normal light normal>) = 10.24
2019-09-23 09:52:44,581: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Roboto Mono Thin for Powerline' (Roboto Mono Thin for Powerline.ttf) normal normal 400 normal>) = 10.05
2019-09-23 09:52:44,581: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Space Mono' (SpaceMono-Bold.ttf) normal normal bold normal>) = 10.335
2019-09-23 09:52:44,582: matplotlib.font_manager DEBUG   : findfont: score(<Font 'Meslo LG M DZ for Powerline' (Meslo LG M DZ Bold Italic for Powerline.ttf) italic normal bold normal>) = 11.335
2019-09-23 09:52:44,582: matplotlib.font_manager DEBUG   : findfont: score(<Font 'DejaVu Sans' (DejaVuSansCondensed-Oblique.ttf) oblique normal 400 condensed>) = 1.25
