,dataset,trial,n_samples,d_dimensions,nu,gamma,scorer,value,gamma_mean,gamma_scott,gamma_silv,noise
192,tstudent,3,500,2,2,49.99999999999999,hsic,0.0019762767912716362,1.0,0.35495366597555705,0.35495366597555705,0.001995262314968879
193,tstudent,3,500,2,2,0.005,tka,0.9978520921977924,1.0,0.35495366597555705,0.35495366597555705,0.001995262314968879
194,tstudent,3,500,2,2,49.99999999999999,ctka,0.4858450424130085,1.0,0.35495366597555705,0.35495366597555705,0.001995262314968879
195,tstudent,3,500,2,3,49.99999999999999,hsic,0.0019745160238351586,1.0,0.35495366597555705,0.35495366597555705,0.001995262314968879
196,tstudent,3,500,2,3,0.005,tka,0.999432922950803,1.0,0.35495366597555705,0.35495366597555705,0.001995262314968879
197,tstudent,3,500,2,3,49.99999999999999,ctka,0.45764579736548744,1.0,0.35495366597555705,0.35495366597555705,0.001995262314968879
198,tstudent,3,500,2,1,0.43487450130889127,hsic,0.002825222498795847,1.0,0.35495366597555705,0.35495366597555705,0.003981071705534973
199,tstudent,3,500,2,1,0.005,tka,0.9965817797412745,1.0,0.35495366597555705,0.35495366597555705,0.003981071705534973
200,tstudent,3,500,2,1,49.99999999999999,ctka,0.5086709155335271,1.0,0.35495366597555705,0.35495366597555705,0.003981071705534973
201,tstudent,3,500,2,2,49.99999999999999,hsic,0.0019756952727717973,1.0,0.35495366597555705,0.35495366597555705,0.003981071705534973
202,tstudent,3,500,2,2,0.005,tka,0.9978524597082326,1.0,0.35495366597555705,0.35495366597555705,0.003981071705534973
203,tstudent,3,500,2,2,49.99999999999999,ctka,0.4855704649825946,1.0,0.35495366597555705,0.35495366597555705,0.003981071705534973
204,tstudent,3,500,2,3,49.99999999999999,hsic,0.0019745414816036105,1.0,0.35495366597555705,0.35495366597555705,0.003981071705534973
205,tstudent,3,500,2,3,0.005,tka,0.9994329336581964,1.0,0.35495366597555705,0.35495366597555705,0.003981071705534973
206,tstudent,3,500,2,3,49.99999999999999,ctka,0.4578582439876912,1.0,0.35495366597555705,0.35495366597555705,0.003981071705534973
207,tstudent,3,500,2,1,0.43487450130889127,hsic,0.002839642361656702,1.0,0.35495366597555705,0.35495366597555705,0.00794328234724282
208,tstudent,3,500,2,1,0.005,tka,0.9965832789202709,1.0,0.35495366597555705,0.35495366597555705,0.00794328234724282
209,tstudent,3,500,2,1,49.99999999999999,ctka,0.5096173627150232,1.0,0.35495366597555705,0.35495366597555705,0.00794328234724282
210,tstudent,3,500,2,2,49.99999999999999,hsic,0.00197701026073413,1.0,0.35495366597555705,0.35495366597555705,0.00794328234724282
211,tstudent,3,500,2,2,0.005,tka,0.9978516315641749,1.0,0.35495366597555705,0.35495366597555705,0.00794328234724282
