,trial,function,noise,init_gamma,gamma,scorer,value,mi
99,1,line,0.001,0.5,0.005,tka,0.9999999999832053,5.216984272414182
100,1,line,0.001,0.5,49.99999999999999,ctka,0.9999308457661336,5.216984272414182
101,1,line,0.001,0.5,41.432138642734216,ctka,0.9999407758467016,5.216984272414182
102,1,line,0.001,0.5,34.33244225021501,ctka,0.9999490926607097,5.216984272414182
103,1,line,0.001,0.5,28.44933014509148,ctka,0.9999560622400465,5.216984272414182
104,1,line,0.001,0.5,23.57433181728697,ctka,0.9999619058743052,5.216984272414182
105,1,line,0.001,0.5,19.534699685273083,ctka,0.999966808140286,5.216984272414182
106,1,line,0.001,0.5,16.187287714088217,ctka,0.9999709240053828,5.216984272414182
107,1,line,0.001,0.5,13.41347897639863,ctka,0.9999743844834672,5.216984272414182
108,1,line,0.001,0.5,11.114982412630976,ctka,0.9999773002018687,5.216984272414182
109,1,line,0.001,0.5,9.210349846633582,ctka,0.9999797628034047,5.216984272414182
110,1,line,0.001,0.5,7.632089835876167,ctka,0.9999818450640219,5.216984272414182
111,1,line,0.001,0.5,6.324276084276483,ctka,0.9999836012576196,5.216984272414182
112,1,line,0.001,0.5,5.240565670773429,ctka,0.9999850691757937,5.216984272414182
113,1,line,0.001,0.5,4.342556868756765,ctka,0.9999862743718221,5.216984272414182
114,1,line,0.001,0.5,3.5984283650057605,ctka,0.9999872360058716,5.216984272414182
115,1,line,0.001,0.5,2.981811658297323,ctka,0.9999879726816263,5.216984272414182
116,1,line,0.001,0.5,2.470856680661918,ctka,0.999988506485785,5.216984272414182
117,1,line,0.001,0.5,2.047457531190213,ctka,0.9999888642579512,5.216984272414182
118,1,line,0.001,0.5,1.696610885947665,ctka,0.9999890763716118,5.216984272414182
119,1,line,0.001,0.5,1.4058843489871153,ctka,0.9999891741680605,5.216984272414182
120,1,line,0.001,0.5,1.1649759052576867,ctka,0.999989187286782,5.216984272414182
121,1,line,0.001,0.5,0.9653488644416254,ctka,0.9999891416984535,5.216984272414182
122,1,line,0.001,0.5,0.7999293598030295,ctka,0.999989058701666,5.216984272414182
