,dataset,dimensions,dof,gamma_init,gamma_method,hsic_value,mi_value,samples,scorer,trial
96,tstudent,2.0,7.0,1.8420157493201932,silverman,0.39166981952661767,0.018156960160192206,50.0,tka,4.0
97,tstudent,2.0,8.0,1.8420157493201932,silverman,0.38446463247971785,0.01599780999542543,50.0,tka,4.0
98,tstudent,2.0,9.0,1.8420157493201932,silverman,0.37730290593055116,0.014360202815325131,50.0,tka,4.0
99,tstudent,2.0,1.0,1.8420157493201932,silverman,0.46287036427374084,0.3123490976818149,50.0,ctka,4.0
100,tstudent,2.0,2.0,1.8420157493201932,silverman,0.46192082802174617,0.14682663127453224,50.0,ctka,4.0
101,tstudent,2.0,3.0,1.8420157493201932,silverman,0.4112735776065621,0.08976567628349615,50.0,ctka,4.0
102,tstudent,2.0,4.0,1.8420157493201932,silverman,0.3538494920384322,0.0629451439502623,50.0,ctka,4.0
103,tstudent,2.0,5.0,1.8420157493201932,silverman,0.33529575697114755,0.04812993819843962,50.0,ctka,4.0
104,tstudent,2.0,6.0,1.8420157493201932,silverman,0.306125333874544,0.023798350590008777,50.0,ctka,4.0
105,tstudent,2.0,7.0,1.8420157493201932,silverman,0.29113792748357575,0.018156960160192206,50.0,ctka,4.0
106,tstudent,2.0,8.0,1.8420157493201932,silverman,0.282347230976639,0.01599780999542543,50.0,ctka,4.0
107,tstudent,2.0,9.0,1.8420157493201932,silverman,0.273646517300954,0.014360202815325131,50.0,ctka,4.0
108,tstudent,2.0,1.0,1.8420157493201932,silverman,0.02146681727147804,0.3088523116503308,50.0,hsic,5.0
109,tstudent,2.0,2.0,1.8420157493201932,silverman,0.018346167375206588,0.1433298452430475,50.0,hsic,5.0
110,tstudent,2.0,3.0,1.8420157493201932,silverman,0.017712974949870064,0.08626889025201201,50.0,hsic,5.0
111,tstudent,2.0,4.0,1.8420157493201932,silverman,0.018062322460729547,0.059448357918778165,50.0,hsic,5.0
112,tstudent,2.0,5.0,1.8420157493201932,silverman,0.0203885983774379,0.0446331521669555,50.0,hsic,5.0
113,tstudent,2.0,6.0,1.8420157493201932,silverman,0.018858786364030464,0.02030156455852465,50.0,hsic,5.0
