,dataset,gamma_init,gamma_method,hsic_value,scale,scorer
1950,sine,6.247760315443301,median_p0.4,1.7351874890887308e-09,0.0001,hsic
1951,sine,6.247519438904645,median_p0.4,3.6801478565037337e-09,0.00014563484775012445,hsic
1952,sine,6.2471686636396955,median_p0.4,7.80510518800876e-09,0.00021209508879201905,hsic
1953,sine,6.2466578654547495,median_p0.4,1.6553294142862477e-08,0.00030888435964774815,hsic
1954,sine,6.245914077343625,median_p0.4,3.51057863162004e-08,0.0004498432668969444,hsic
1955,sine,6.2448311002490655,median_p0.4,7.444856936842384e-08,0.0006551285568595509,hsic
1956,sine,6.24325441193706,median_p0.4,1.57873689989301e-07,0.0009540954763499944,hsic
1957,sine,6.240959272137622,median_p0.4,3.347555298011398e-07,0.0013894954943731374,hsic
1958,sine,6.237619011841678,median_p0.4,7.097313857832159e-07,0.0020235896477251557,hsic
1959,sine,6.2327592232966,median_p0.4,1.5044733455188618e-06,0.0029470517025518097,hsic
1960,sine,6.225691829853393,median_p0.4,3.1883339155021837e-06,0.004291934260128779,hsic
1961,sine,6.215420723387217,median_p0.4,6.7542851052793425e-06,0.0062505519252739694,hsic
1962,sine,6.200507816427993,median_p0.4,1.4300551793826015e-05,0.009102981779915217,hsic
1963,sine,6.178885242027704,median_p0.4,3.025280161494835e-05,0.013257113655901081,hsic
1964,sine,6.147596976602791,median_p0.4,6.391999543490368e-05,0.019306977288832496,hsic
1965,sine,6.102453712859764,median_p0.4,0.00013479840893778058,0.02811768697974228,hsic
1966,sine,6.037593564603694,median_p0.4,0.0002834417088274858,0.040949150623804234,hsic
1967,sine,5.944968455421894,median_p0.4,0.0005932701794232087,0.05963623316594643,hsic
1968,sine,5.813839999392027,median_p0.4,0.0012327151838850113,0.08685113737513521,hsic
1969,sine,5.630495768469756,median_p0.4,0.0025311208497664902,0.12648552168552957,hsic
1970,sine,5.378610755713107,median_p0.4,0.00509687285062273,0.18420699693267145,hsic
1971,sine,5.04095741860316,median_p0.4,0.009942061376873057,0.2682695795279725,hsic
1972,sine,4.6033411030203455,median_p0.4,0.01843518105022075,0.3906939937054613,hsic
1973,sine,4.061252669973916,median_p0.4,0.03167861084396289,0.5689866029018293,hsic
1974,sine,3.4281141470235403,median_p0.4,0.04909302271804839,0.8286427728546842,hsic
1975,sine,2.7410521840622506,median_p0.4,0.06741020970416241,1.2067926406393288,hsic
1976,sine,2.0579554960662874,median_p0.4,0.08207254428033227,1.7575106248547894,hsic
1977,sine,1.4424491411684772,median_p0.4,0.08949993767745079,2.559547922699533,hsic
1978,sine,0.9425435816930202,median_p0.4,0.08726885988664365,3.727593720314938,hsic
1979,sine,0.5760870167241319,median_p0.4,0.0746863264141526,5.428675439323859,hsic
1980,sine,0.33174268457887696,median_p0.4,0.055243786042986014,7.9060432109076855,hsic
1981,sine,0.1817038898207522,median_p0.4,0.035591951430673535,11.513953993264458,hsic
1982,sine,0.09561665063273575,median_p0.4,0.020545845212885345,16.768329368110066,hsic
1983,sine,0.04879125266031529,median_p0.4,0.010987404598150834,24.420530945486497,hsic
1984,sine,0.024333343283102656,median_p0.4,0.005595555384083126,35.564803062231285,hsic
1985,sine,0.011935055778905497,median_p0.4,0.00276583637277719,51.79474679231202,hsic
1986,sine,0.005784574224013294,median_p0.4,0.0013428192836167968,75.43120063354607,hsic
1987,sine,0.002780109231549345,median_p0.4,0.0006449279419477511,109.85411419875572,hsic
1988,sine,0.001328285454880499,median_p0.4,0.00030770346013902046,159.98587196060572,hsic
1989,sine,0.000632030818070341,median_p0.4,0.0001462052342803725,232.99518105153672,hsic
1990,sine,0.00029988126894511856,median_p0.4,6.928746072734594e-05,339.3221771895323,hsic
1991,sine,0.00014200588232783328,median_p0.4,3.27799916488685e-05,494.1713361323828,hsic
1992,sine,6.7154361618115e-05,median_p0.4,1.549095167825338e-05,719.6856730011514,hsic
1993,sine,3.172753657860845e-05,median_p0.4,7.315174510716508e-06,1048.1131341546852,hsic
1994,sine,1.4980257284815173e-05,median_p0.4,3.4526665789580435e-06,1526.4179671752302,hsic
